Gene,T1,T2,T3,T4,T5
SPTLC2,-0.016947659,-0.347642722,-0.147690212,-0.290391228,-0.259519459
SPTLC3,0,0,0,0,0
SPTSSA,0.151914719,-0.179520864,-0.028434752,-0.025431272,0.201218396
SPTSSB,0,0,0,0,0
SPTY2D1,-0.253820732,0.594318388,-0.138575499,-0.255089829,-0.358724317
SPTY2D1-AS1,0,0,0.041347312,0,0.023816036
SPX,0,0,0,0,0
SQLE,-0.004855716,-0.23933071,0.166904688,0.256517025,-0.019081144
SQRDL,0.02165527,-0.322242684,-0.248359783,-0.17523353,-0.205111978
SQSTM1,-0.288910132,0.346278388,0.562166842,0.639745458,0.067490846
SRA1,0.032074071,0.233485117,-0.103150849,-0.05410162,0.060160807
SRBD1,-0.04773566,-0.10707056,-0.08874971,-0.135459771,-0.162978166
SRC,0,0,0,0,0
SRCAP,0.113990831,0,0,0.008096462,0
SRD5A1,0.064421855,-0.136317732,-0.115884498,-0.136317732,-0.136317732
SRD5A3,0.101390513,-0.380681646,-0.360710392,-0.362565703,-0.169579474
SREBF1,0,0.057435597,0.100906912,0.105881044,0.01841789
SREBF2,0.148828695,0.166465166,0.183759295,0.212542605,0.083109921
SREK1,0.068431146,0.46799956,0.098479327,0.099481313,-0.334158039
SREK1IP1,-0.213869958,0.293159518,0.188179531,0.282005584,-0.095819471
SRF,-0.003617643,-0.057626729,0.055762599,-0.041945243,0.079578852
SRFBP1,-0.061657227,0.225457802,0.007671053,0.022437112,-0.204114231
SRGAP1,0,0,0.098191813,0,0
SRGAP2,0.013718317,0.383554074,-0.008687427,0.009205296,0.003074619
SRGAP2B,0.030857663,0.438964984,0.130425996,0.20188456,0.14943194
SRGAP2C,0.044308147,0.019157348,0.01775203,0.019123465,-0.034111104
SRGAP3,-0.05127556,-0.168061927,-0.168061927,-0.146223406,-0.161255889
SRGN,0.285969509,-0.484079537,-1.27256088,-0.936310156,-0.089242411
SRI,0.30997913,0.24730627,-0.194093765,-0.1966854,-0.150504008
SRM,0.750411869,0.049177076,-0.39636994,-0.283403794,0.289654329
SRP14,0.475677058,0.84753678,-0.073634217,-0.122524986,-0.971254514
SRP14-AS1,-0.084013952,-0.125699989,-0.05228221,-0.125699989,-0.109522263
SRP19,0.051804403,0.253445037,0.096202853,0.086182113,-0.39206459
SRP54,-0.156173649,-0.261033009,-0.036169407,-0.170164527,0.040621572
SRP68,0.066940034,-0.048028919,0.071415285,0.183709335,0.000406391
SRP72,0.826599345,0.864383145,0.239560201,-0.017247849,-0.360475381
SRP9,0.897287805,1.097065678,-0.089951935,-0.342339031,-0.639627444
SRPK1,0.295983359,-0.241447333,-0.110566735,-0.182870918,-0.036861666
SRPK2,0.073037579,0.100091436,0.158675269,0.140916005,-0.057722388
SRPRA,0.321009083,0.070570541,0.511978447,0.045335692,0.274282568
SRPRB,0.122017141,0.116905236,0.142631938,0.150879148,0.57652992
SRPX,0,0,0,0,0
SRR,0.111005556,0,0,0,0
SRRD,0.026891746,0,0.079362399,0.122208343,0.037991266
SRRM1,-0.089897137,0.23607629,-0.263734578,-0.052738101,-1.703965207
SRRM2,-0.122693165,0.839748597,0.63901946,0.523176824,-0.36934494
SRRM2-AS1,-0.04938851,0.086739991,-0.04938851,-0.022999586,-0.04938851
SRRT,-0.270132043,1.207815543,-0.14056,-0.191319755,-0.348008226
SRSF1,0.088456947,0.233752973,0.319125526,0.158214405,-0.130692597
SRSF10,0.508486933,1.806114476,0.615323279,0.444412925,-0.643465107
SRSF11,-0.357944707,0.581104951,0.056579927,-0.109700225,-0.951684423
SRSF12,-0.057626729,-0.057626729,-0.057626729,-0.057626729,-0.057626729
SRSF2,0.729708796,2.087186001,0.168546067,0.306726813,-0.322589275
SRSF3,0.90469135,2.130049933,-0.00275903,-0.001588458,-0.85742006
SRSF4,0.147936757,1.03765335,0.430865584,0.410092081,-0.238896871
SRSF5,0.060456792,0.412799523,0.263227728,0.482631394,-1.118891233
SRSF6,-0.216969391,0.39760021,0.033674879,-0.09125842,-0.68046327
SRSF7,-0.040945304,0.410944117,0.721745453,0.867611892,-0.216017772
SRSF8,-0.093760521,0.366412824,0.138681068,0.041311156,-0.17019822
SRSF9,0.388637556,0.703095804,-0.531736704,-0.555453565,-0.506270516
SRXN1,0,0,0,0,0
SS18,-0.143714964,-0.22994251,-0.148254439,-0.006145331,-0.157908363
SS18L1,0.101642797,0,0,0.043389236,0
SS18L2,-0.285521542,-0.208775311,0.083849017,-0.023168245,-0.645210435
SSB,-0.19626108,-0.396465433,-0.540554581,-0.504336243,-1.097586556
SSBP1,0.903899269,1.030546146,-0.100560366,-0.005054623,-0.371110783
SSBP2,0.030868978,0.062116945,-0.511911812,-0.481766609,-0.637690072
SSBP3,-0.135496693,-0.286199134,-0.257132068,-0.242828129,-0.231386699
SSBP3-AS1,0.019467226,-0.041601886,-0.041601886,-0.041601886,-0.041601886
SSBP4,0.104006406,-0.435599622,-0.321674395,-0.114712985,-0.53370534
SSC4D,0,0,0,0,0.035384908
SSC5D,0,0,0,0.033051364,0
SSFA2,-0.216226307,-0.28220031,-0.295483644,-0.201766611,-0.323093638
